"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","fdr"
"REACTOME_GLYCOGEN_STORAGE_DISEASES",1,1,0,16,485,19531,1
"REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS",1,1,0,20,485,19527,1
"REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS",1,1,0,39,485,19508,1
"REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN",1,1,0,13,485,19534,1
"REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM",1,1,0,14,485,19533,1
"REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM",1,1,0,22,485,19525,1
"REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY",1,1,0,36,485,19511,1
"REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER",1,1,0,7,485,19540,1
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER",1,1,0,8,485,19539,1
"REACTOME_GLYCOGEN_SYNTHESIS",1,1,0,16,485,19531,1
"REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM",1,1,0,8,485,19539,1
"REACTOME_REGULATION_BY_C_FLIP",1,1,0,11,485,19536,1
"REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE",1,1,0,82,485,19465,1
"REACTOME_HSF1_ACTIVATION",1,1,0,31,485,19516,1
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS",1,1,0,101,485,19446,1
"REACTOME_ATTENUATION_PHASE",1,1,0,28,485,19519,1
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION",1,1,0,38,485,19509,1
"REACTOME_METABOLISM_OF_POLYAMINES",1,1,0,58,485,19489,1
"REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1",1,1,0,8,485,19539,1
"REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2",1,1,0,14,485,19533,1
"REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15",1,1,0,8,485,19539,1
"REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D",1,1,0,8,485,19539,1
"REACTOME_NETRIN_1_SIGNALING",1,1,0,50,485,19497,1
"REACTOME_NEPHRIN_FAMILY_INTERACTIONS",1,1,0,23,485,19524,1
"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS",1,1,0,42,485,19505,1
"REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS",1,1,0,12,485,19535,1
"REACTOME_DSCAM_INTERACTIONS",1,1,0,11,485,19536,1
"REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS",1,1,0,17,485,19530,1
"REACTOME_MYOCLONIC_EPILEPSY_OF_LAFORA",1,1,0,9,485,19538,1
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",1,1,0,24,485,19523,1
"REACTOME_TRNA_AMINOACYLATION",1,1,0,42,485,19505,1
"REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION",1,1,0,21,485,19526,1
"REACTOME_TACHYKININ_RECEPTORS_BIND_TACHYKININS",1,1,0,5,485,19542,1
"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",1,1,0,80,485,19467,1
"REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK",1,1,0,29,485,19518,1
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,1,0,27,485,19520,1
"REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES",1,1,0,12,485,19535,1
"REACTOME_PERK_REGULATES_GENE_EXPRESSION",1,1,0,32,485,19515,1
"REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES",1,1,0,10,485,19537,1
"REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION",1,1,0,42,485,19505,1
"REACTOME_VASOPRESSIN_LIKE_RECEPTORS",1,1,0,6,485,19541,1
"REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES",1,1,0,20,485,19527,1
"REACTOME_CD28_CO_STIMULATION",1,1,0,33,485,19514,1
"REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING",1,1,0,22,485,19525,1
"REACTOME_CD28_DEPENDENT_VAV1_PATHWAY",1,1,0,12,485,19535,1
"REACTOME_OREXIN_AND_NEUROPEPTIDES_FF_AND_QRFP_BIND_TO_THEIR_RESPECTIVE_RECEPTORS",1,1,0,8,485,19539,1
"REACTOME_CTLA4_INHIBITORY_SIGNALING",1,1,0,21,485,19526,1
"REACTOME_ALPHA_OXIDATION_OF_PHYTANATE",1,1,0,6,485,19541,1
"REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS",1,1,0,43,485,19504,1
"REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS",1,1,0,11,485,19536,1
"REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC",1,1,0,10,485,19537,1
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",1,1,0,39,485,19508,1
"REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS",1,1,0,5,485,19542,1
"REACTOME_DOPAMINE_RECEPTORS",1,1,0,5,485,19542,1
"REACTOME_SEROTONIN_RECEPTORS",1,1,0,12,485,19535,1
"REACTOME_ADRENOCEPTORS",1,1,0,9,485,19538,1
"REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS",1,1,0,15,485,19532,1
"REACTOME_LEUKOTRIENE_RECEPTORS",1,1,0,5,485,19542,1
"REACTOME_PROSTANOID_LIGAND_RECEPTORS",1,1,0,9,485,19538,1
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA",1,1,0,25,485,19522,1
"REACTOME_RAP1_SIGNALLING",1,1,0,15,485,19532,1
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR",1,1,0,19,485,19528,1
"REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE",1,1,0,29,485,19518,1
"REACTOME_EPHRIN_SIGNALING",1,1,0,19,485,19528,1
"REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS",1,1,0,51,485,19496,1
"REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING",1,1,0,32,485,19515,1
"REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",1,1,0,10,485,19537,1
"REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS",1,1,0,35,485,19512,1
"REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS",1,1,0,29,485,19518,1
"REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION",1,1,0,8,485,19539,1
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",1,1,0,19,485,19528,1
"REACTOME_CGMP_EFFECTS",1,1,0,15,485,19532,1
"REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING",1,1,0,14,485,19533,1
"REACTOME_NETRIN_MEDIATED_REPULSION_SIGNALS",1,1,0,8,485,19539,1
"REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND",1,1,0,10,485,19537,1
"REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING",1,1,0,10,485,19537,1
"REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",1,1,0,33,485,19514,1
"REACTOME_OPSINS",1,1,0,9,485,19538,1
"REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS",1,1,0,10,485,19537,1
"REACTOME_TIGHT_JUNCTION_INTERACTIONS",1,1,0,30,485,19517,1
"REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS",1,1,0,33,485,19514,1
"REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION",1,1,0,7,485,19540,1
"REACTOME_CELL_CELL_JUNCTION_ORGANIZATION",1,1,0,65,485,19482,1
"REACTOME_BICARBONATE_TRANSPORTERS",1,1,0,10,485,19537,1
"REACTOME_METAL_ION_SLC_TRANSPORTERS",1,1,0,26,485,19521,1
"REACTOME_SODIUM_PROTON_EXCHANGERS",1,1,0,9,485,19538,1
"REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG",1,1,0,5,485,19542,1
"REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS",1,1,0,7,485,19540,1
"REACTOME_SMALL_INTERFERING_RNA_SIRNA_BIOGENESIS",1,1,0,9,485,19538,1
"REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS",1,1,0,9,485,19538,1
"REACTOME_ACTIVATION_OF_RAC1",1,1,0,13,485,19534,1
"REACTOME_INACTIVATION_OF_CDC42_AND_RAC1",1,1,0,8,485,19539,1
"REACTOME_ORGANIC_ANION_TRANSPORTERS",1,1,0,10,485,19537,1
"REACTOME_ROLE_OF_ABL_IN_ROBO_SLIT_SIGNALING",1,1,0,8,485,19539,1
"REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR",1,1,0,24,485,19523,1
"REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY",1,1,0,56,485,19491,1
"REACTOME_DEADENYLATION_OF_MRNA",1,1,0,25,485,19522,1
"REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE",1,1,0,16,485,19531,1
"REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE",1,1,0,15,485,19532,1
"REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING",1,1,0,12,485,19535,1
"REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS",1,1,0,42,485,19505,1
"REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS",1,1,0,12,485,19535,1
"REACTOME_PLATELET_SENSITIZATION_BY_LDL",1,1,0,17,485,19530,1
"REACTOME_LYSOSOME_VESICLE_BIOGENESIS",1,1,0,35,485,19512,1
"REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS",1,1,0,56,485,19491,1
"REACTOME_SODIUM_COUPLED_SULPHATE_DI_AND_TRI_CARBOXYLATE_TRANSPORTERS",1,1,0,5,485,19542,1
"REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT",1,1,0,6,485,19541,1
"REACTOME_FATTY_ACIDS_BOUND_TO_GPR40_FFAR1_REGULATE_INSULIN_SECRETION",1,1,0,8,485,19539,1
"REACTOME_ZINC_TRANSPORTERS",1,1,0,17,485,19530,1
"REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY",1,1,0,7,485,19540,1
"REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA",1,1,0,15,485,19532,1
"REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY",1,1,0,10,485,19537,1
"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS",1,1,0,19,485,19528,1
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE",1,1,0,12,485,19535,1
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE",1,1,0,8,485,19539,1
"REACTOME_RSK_ACTIVATION",1,1,0,7,485,19540,1
"REACTOME_RELAXIN_RECEPTORS",1,1,0,8,485,19539,1
"REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS",1,1,0,30,485,19517,1
"REACTOME_AQUAPORIN_MEDIATED_TRANSPORT",1,1,0,51,485,19496,1
"REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX",1,1,0,32,485,19515,1
"REACTOME_SYNTHESIS_OF_GDP_MANNOSE",1,1,0,5,485,19542,1
"REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE",1,1,0,8,485,19539,1
"REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS",1,1,0,8,485,19539,1
"REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING",1,1,0,139,485,19408,1
"REACTOME_NRCAM_INTERACTIONS",1,1,0,7,485,19540,1
"REACTOME_CHL1_INTERACTIONS",1,1,0,9,485,19538,1
"REACTOME_NEUROFASCIN_INTERACTIONS",1,1,0,7,485,19540,1
"REACTOME_INTERLEUKIN_1_PROCESSING",1,1,0,9,485,19538,1
"REACTOME_OTHER_INTERLEUKIN_SIGNALING",1,1,0,24,485,19523,1
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",1,1,0,23,485,19524,1
"REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1",1,1,0,21,485,19526,1
"REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS",1,1,0,9,485,19538,1
"REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA",1,1,0,17,485,19530,1
"REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA",1,1,0,55,485,19492,1
"REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA",1,1,0,17,485,19530,1
"REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA",1,1,0,17,485,19530,1
"REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING",1,1,0,44,485,19503,1
"REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS",1,1,0,32,485,19515,1
"REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS",1,1,0,47,485,19500,1
"REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS",1,1,0,46,485,19501,1
"REACTOME_DEGRADATION_OF_AXIN",1,1,0,55,485,19492,1
"REACTOME_DEGRADATION_OF_DVL",1,1,0,57,485,19490,1
"REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION",1,1,0,21,485,19526,1
"REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS",1,1,0,16,485,19531,1
"REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS",1,1,0,11,485,19536,1
"REACTOME_SIGNALING_BY_WNT_IN_CANCER",1,1,0,34,485,19513,1
"REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS",1,1,0,15,485,19532,1
"REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES",1,1,0,29,485,19518,1
"REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS",1,1,0,21,485,19526,1
"REACTOME_DEFECTIVE_LFNG_CAUSES_SCDO3",1,1,0,5,485,19542,1
"REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING",1,1,0,48,485,19499,1
"REACTOME_MITOPHAGY",1,1,0,29,485,19518,1
"REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY",1,1,0,22,485,19525,1
"REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS",1,1,0,11,485,19536,1
"REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS",1,1,0,29,485,19518,1
"REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BOTD",1,1,0,5,485,19542,1
"REACTOME_MYOGENESIS",1,1,0,29,485,19518,1
"REACTOME_SIGNALING_BY_LRP5_MUTANTS",1,1,0,6,485,19541,1
"REACTOME_SIGNALING_BY_RNF43_MUTANTS",1,1,0,8,485,19539,1
"REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY",1,1,0,26,485,19521,1
"REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING",1,1,0,13,485,19534,1
"REACTOME_REGULATION_OF_TNFR1_SIGNALING",1,1,0,35,485,19512,1
"REACTOME_TNFR1_INDUCED_NFKAPPAB_SIGNALING_PATHWAY",1,1,0,30,485,19517,1
"REACTOME_HEDGEHOG_LIGAND_BIOGENESIS",1,1,0,65,485,19482,1
"REACTOME_SIGNALING_BY_HEDGEHOG",1,1,0,149,485,19398,1
"REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2",1,1,0,8,485,19539,1
"REACTOME_MISMATCH_REPAIR",1,1,0,15,485,19532,1
"REACTOME_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL",1,1,0,8,485,19539,1
"REACTOME_RA_BIOSYNTHESIS_PATHWAY",1,1,0,22,485,19525,1
"REACTOME_MITOCHONDRIAL_TRANSLATION",1,1,0,94,485,19453,1
"REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS",1,1,0,5,485,19542,1
"REACTOME_DISEASES_OF_MISMATCH_REPAIR_MMR",1,1,0,5,485,19542,1
"REACTOME_PHASE_3_RAPID_REPOLARISATION",1,1,0,8,485,19539,1
"REACTOME_PHASE_0_RAPID_DEPOLARISATION",1,1,0,32,485,19515,1
"REACTOME_PHASE_2_PLATEAU_PHASE",1,1,0,15,485,19532,1
"REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS",1,1,0,7,485,19540,1
"REACTOME_PHYSIOLOGICAL_FACTORS",1,1,0,12,485,19535,1
"REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES",1,1,0,34,485,19513,1
"REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID",1,1,0,7,485,19540,1
"REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING",1,1,0,62,485,19485,1
"REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION",1,1,0,11,485,19536,1
"REACTOME_ORGANIC_ANION_TRANSPORT",1,1,0,5,485,19542,1
"REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME",1,1,0,60,485,19487,1
"REACTOME_HEDGEHOG_OFF_STATE",1,1,0,113,485,19434,1
"REACTOME_ABC_TRANSPORTER_DISORDERS",1,1,0,77,485,19470,1
"REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE",1,1,0,96,485,19451,1
"REACTOME_VXPX_CARGO_TARGETING_TO_CILIUM",1,1,0,21,485,19526,1
"REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE",1,1,0,51,485,19496,1
"REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM",1,1,0,23,485,19524,1
"REACTOME_INTRAFLAGELLAR_TRANSPORT",1,1,0,50,485,19497,1
"REACTOME_CD209_DC_SIGN_SIGNALING",1,1,0,21,485,19526,1
"REACTOME_TRAFFICKING_OF_MYRISTOYLATED_PROTEINS_TO_THE_CILIUM",1,1,0,5,485,19542,1
"REACTOME_RHO_GTPASES_ACTIVATE_CIT",1,1,0,19,485,19528,1
"REACTOME_RHO_GTPASES_ACTIVATE_KTN1",1,1,0,11,485,19536,1
"REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION",1,1,0,6,485,19541,1
"REACTOME_RHO_GTPASES_ACTIVATE_PAKS",1,1,0,21,485,19526,1
"REACTOME_LIGAND_RECEPTOR_INTERACTIONS",1,1,0,8,485,19539,1
"REACTOME_HEDGEHOG_ON_STATE",1,1,0,85,485,19462,1
"REACTOME_ACTIVATION_OF_SMO",1,1,0,18,485,19529,1
"REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION",1,1,0,7,485,19540,1
"REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII",1,1,0,15,485,19532,1
"REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY",1,1,0,7,485,19540,1
"REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",1,1,0,21,485,19526,1
"REACTOME_FRUCTOSE_METABOLISM",1,1,0,7,485,19540,1
"REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2",1,1,0,18,485,19529,1
"REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4",1,1,0,15,485,19532,1
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1",1,1,0,30,485,19517,1
"REACTOME_SHC_MEDIATED_CASCADE_FGFR1",1,1,0,21,485,19526,1
"REACTOME_PI_3K_CASCADE_FGFR1",1,1,0,21,485,19526,1
"REACTOME_FRS_MEDIATED_FGFR1_SIGNALING",1,1,0,23,485,19524,1
"REACTOME_PI_3K_CASCADE_FGFR2",1,1,0,23,485,19524,1
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2",1,1,0,30,485,19517,1
"REACTOME_FRS_MEDIATED_FGFR2_SIGNALING",1,1,0,25,485,19522,1
"REACTOME_SHC_MEDIATED_CASCADE_FGFR3",1,1,0,18,485,19529,1
"REACTOME_FRS_MEDIATED_FGFR3_SIGNALING",1,1,0,20,485,19527,1
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3",1,1,0,25,485,19522,1
"REACTOME_PI_3K_CASCADE_FGFR3",1,1,0,18,485,19529,1
"REACTOME_FRS_MEDIATED_FGFR4_SIGNALING",1,1,0,22,485,19525,1
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4",1,1,0,27,485,19520,1
"REACTOME_SHC_MEDIATED_CASCADE_FGFR4",1,1,0,20,485,19527,1
"REACTOME_PI_3K_CASCADE_FGFR4",1,1,0,20,485,19527,1
"REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING",1,1,0,33,485,19514,1
"REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING",1,1,0,34,485,19513,1
"REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING",1,1,0,29,485,19518,1
"REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING",1,1,0,31,485,19516,1
"REACTOME_SIGNALING_BY_FGFR1",1,1,0,49,485,19498,1
"REACTOME_SIGNALING_BY_FGFR2",1,1,0,73,485,19474,1
"REACTOME_SIGNALING_BY_FGFR3",1,1,0,40,485,19507,1
"REACTOME_SIGNALING_BY_FGFR4",1,1,0,41,485,19506,1
"REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE",1,1,0,43,485,19504,1
"REACTOME_SIGNALING_BY_FGFR4_IN_DISEASE",1,1,0,11,485,19536,1
"REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE",1,1,0,37,485,19510,1
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLK",1,1,0,17,485,19530,1
"REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS",1,1,0,32,485,19515,1
"REACTOME_REGULATION_OF_RAS_BY_GAPS",1,1,0,68,485,19479,1
"REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING",1,1,0,13,485,19534,1
"REACTOME_CLEC7A_INFLAMMASOME_PATHWAY",1,1,0,6,485,19541,1
"REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE",1,1,0,5,485,19542,1
"REACTOME_MELANIN_BIOSYNTHESIS",1,1,0,5,485,19542,1
"REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS",1,1,0,9,485,19538,1
"REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS",1,1,0,29,485,19518,1
"REACTOME_RAF_ACTIVATION",1,1,0,34,485,19513,1
"REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY",1,1,0,6,485,19541,1
"REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS",1,1,0,61,485,19486,1
"REACTOME_LGI_ADAM_INTERACTIONS",1,1,0,14,485,19533,1
"REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION",1,1,0,16,485,19531,1
"REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA",1,1,0,37,485,19510,1
"REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ",1,1,0,10,485,19537,1
"REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR",1,1,0,67,485,19480,1
"REACTOME_MAPK6_MAPK4_SIGNALING",1,1,0,91,485,19456,1
"REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5",1,1,0,8,485,19539,1
"REACTOME_JOSEPHIN_DOMAIN_DUBS",1,1,0,12,485,19535,1
"REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES",1,1,0,38,485,19509,1
"REACTOME_CD22_MEDIATED_BCR_REGULATION",1,1,0,5,485,19542,1
"REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",1,1,0,167,485,19380,1
"REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES",1,1,0,34,485,19513,1
"REACTOME_HOMOLOGY_DIRECTED_REPAIR",1,1,0,138,485,19409,1
"REACTOME_SENSING_OF_DNA_DOUBLE_STRAND_BREAKS",1,1,0,6,485,19541,1
"REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA",1,1,0,26,485,19521,1
"REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ",1,1,0,69,485,19478,1
"REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE",1,1,0,42,485,19505,1
"REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE",1,1,0,78,485,19469,1
"REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS",1,1,0,98,485,19449,1
"REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER",1,1,0,38,485,19509,1
"REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER",1,1,0,43,485,19504,1
"REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER",1,1,0,25,485,19522,1
"REACTOME_NUCLEOTIDE_EXCISION_REPAIR",1,1,0,110,485,19437,1
"REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER",1,1,0,84,485,19463,1
"REACTOME_DUAL_INCISION_IN_GG_NER",1,1,0,41,485,19506,1
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",1,1,0,103,485,19444,1
"REACTOME_INFLAMMASOMES",1,1,0,21,485,19526,1
"REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS",1,1,0,7,485,19540,1
"REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS",1,1,0,11,485,19536,1
